system_type,model,supervision,task,ndcg_at_1,mrr_at_1,hit_at_1,ndcg_at_5,mrr_at_5,hit_at_5,ndcg_at_10,mrr_at_10,hit_at_10,source_artifact,source_sha256,source_commit,source_dirty,provenance_status
text_retriever,BM25,pretrained,1A-R_gene_document_retrieval,0.078886310905,0.078886310905,0.078886310905,0.083407097724,0.081863882444,0.088167053364,0.087108026306,0.083361875299,0.099767981439,results/ndcg_rerun_20260729T011459Z/models/bm25.json,a1849c731d542cbe3fbb79afaec6c51b0bae4270fffbbc76c8ca92038651d64c,b8f38238276b49564f5e312c2ffe8415b0751378,true,verified_saved_artifact_dirty_run
text_retriever,BM25,pretrained,1A-R_hpo_definition_retrieval,0.264789347304,0.264789347304,0.264789347304,0.361491543504,0.332754857018,0.448155424580,0.381015025307,0.340922564908,0.507967692644,results/ndcg_rerun_20260729T011459Z/models/bm25.json,a1849c731d542cbe3fbb79afaec6c51b0bae4270fffbbc76c8ca92038651d64c,b8f38238276b49564f5e312c2ffe8415b0751378,true,verified_saved_artifact_dirty_run
text_retriever,BM25,pretrained,1A-R_mondo_definition_retrieval,0.200434546442,0.200434546442,0.200434546442,0.261580689855,0.243876516386,0.314720260728,0.275377219091,0.249607226921,0.357197175448,results/ndcg_rerun_20260729T011459Z/models/bm25.json,a1849c731d542cbe3fbb79afaec6c51b0bae4270fffbbc76c8ca92038651d64c,b8f38238276b49564f5e312c2ffe8415b0751378,true,verified_saved_artifact_dirty_run
text_retriever,BM25,pretrained,1B-R_disorder_to_phenotype,0.084406294707,0.084406294707,0.084406294707,0.066462561202,0.120341228210,0.184231441742,0.069692737950,0.128472332609,0.245271022095,results/ndcg_rerun_20260729T011459Z/models/bm25.json,a1849c731d542cbe3fbb79afaec6c51b0bae4270fffbbc76c8ca92038651d64c,b8f38238276b49564f5e312c2ffe8415b0751378,true,verified_saved_artifact_dirty_run
text_retriever,BM25,pretrained,1C-R_phenotype_to_disorder,0.099062918340,0.099062918340,0.099062918340,0.098553105307,0.142538407599,0.218397399120,0.102664872248,0.150315168459,0.276917192580,results/ndcg_rerun_20260729T011459Z/models/bm25.json,a1849c731d542cbe3fbb79afaec6c51b0bae4270fffbbc76c8ca92038651d64c,b8f38238276b49564f5e312c2ffe8415b0751378,true,verified_saved_artifact_dirty_run
text_retriever,BM25,pretrained,2A-R_phenotype_to_gene,0.047777040478,0.047777040478,0.047777040478,0.064920972577,0.059610705596,0.080955540810,0.071167346516,0.062201261836,0.100199071002,results/ndcg_rerun_20260729T011459Z/models/bm25.json,a1849c731d542cbe3fbb79afaec6c51b0bae4270fffbbc76c8ca92038651d64c,b8f38238276b49564f5e312c2ffe8415b0751378,true,verified_saved_artifact_dirty_run
text_retriever,BM25,pretrained,2B-R_disease_to_gene,0.076260762608,0.076260762608,0.076260762608,0.049777293287,0.105043050431,0.159747847478,0.054179092816,0.114364481442,0.232164821648,results/ndcg_rerun_20260729T011459Z/models/bm25.json,a1849c731d542cbe3fbb79afaec6c51b0bae4270fffbbc76c8ca92038651d64c,b8f38238276b49564f5e312c2ffe8415b0751378,true,verified_saved_artifact_dirty_run
text_retriever,BM25,pretrained,3A-multi_phenotype_to_disorder,0.066219944817,0.066219944817,0.066219944817,0.093282483906,0.102686900539,0.172250689791,0.107443384652,0.110426950967,0.230193141506,results/ndcg_rerun_20260729T011459Z/models/bm25.json,a1849c731d542cbe3fbb79afaec6c51b0bae4270fffbbc76c8ca92038651d64c,b8f38238276b49564f5e312c2ffe8415b0751378,true,verified_saved_artifact_dirty_run
text_retriever,MiniLM-L6-v2,pretrained,1A-R_gene_document_retrieval,0.157772621810,0.157772621810,0.157772621810,0.244051422937,0.219373549884,0.317865429234,0.263159981595,0.227024638162,0.378190255220,results/ndcg_rerun_20260729T011459Z/models/minilm_l6_v2.json,6b8be3c2c7d7efa847e1af84f25cfd475756f5eabf78559c2a295cab5e071f29,b8f38238276b49564f5e312c2ffe8415b0751378,true,verified_saved_artifact_dirty_run
text_retriever,MiniLM-L6-v2,pretrained,1A-R_hpo_definition_retrieval,0.499672560576,0.499672560576,0.499672560576,0.609174915615,0.578716437459,0.699847194936,0.629103233227,0.586953358073,0.761405806592,results/ndcg_rerun_20260729T011459Z/models/minilm_l6_v2.json,6b8be3c2c7d7efa847e1af84f25cfd475756f5eabf78559c2a295cab5e071f29,b8f38238276b49564f5e312c2ffe8415b0751378,true,verified_saved_artifact_dirty_run
